DateKey,metered_consumption,peak_demand
20180101,11045.500000000002,522.021
20180102,12077.400000000001,601.075
20180103,11679.900000000001,567.636
20180104,12207.197999999993,627.229
20180105,12827.599000000002,678.36
20180106,12470.796000000002,626.301
20180107,8377.198,554.003
20180108,12781.800000000001,660.522
20180109,11876.396999999997,623.0880000000001
20180110,14894.796999999999,804.31
20180111,15449.299000000003,885.9839999999999
20180112,10443.498,534.581
20180113,10391.3,537.378
20180114,9803.099999999997,524.412
20180115,12238.898000000003,659.68
20180116,12929.297,738.434
20180117,13955.9,878.542
20180118,16235.500000000002,1013.383
20180119,17174.6,1054.463
20180120,12692.800000000003,646.651
20180121,12395.098000000005,631.222
20180122,15473.199999999997,970.234
20180123,13635.297,802.684
20180124,13272.694999999994,780.658
20180125,13860.995,857.102
20180126,12846.097999999998,710.617
20180127,12309.899000000003,634.741
20180128,13122.998000000005,704.154
20180129,16821.999,1047.662
20180130,12730.600000000002,690.59
20180131,11735.499000000003,613.514
20180201,11721.899000000003,665.22
20180202,12043.399999999996,702.282
20180203,9827.900000000001,516.237
20180204,9923.4,546.257
20180205,13295.596999999996,827.209
20180206,14458.197000000007,917.34
20180207,16368.196999999996,1033.458
20180208,15766.700000000004,1025.893
20180209,11839.699000000006,630.054
20180210,14968.700000000004,808.268
20180211,16154.098999999993,928.2719999999999
20180212,9579.599999999999,500.60699999999997
20180213,14754.799000000005,876.734
20180214,14883.798,801.744
20180215,14346.798000000003,801.134
20180216,13949.196000000004,789.126
20180217,11074.798999999995,540.213
20180218,11322.700000000003,564.762
20180219,14829.698999999995,875.118
20180220,15502.498999999996,980.701
20180221,15340.400000000001,907.791
20180222,16636.598000000005,981.431
20180223,16641.300000000003,922.286
20180224,12998.396999999999,631.779
20180225,11262.298000000003,564.93
20180226,15420.599999999997,946.679
20180227,16473.597999999998,1023.59
20180228,16658.6,1067.756
20180301,14508.899,768.331
20180302,14531.497999999998,860.446
20180303,11817.595,577.053
20180304,11355.999999999998,570.283
20180305,14357.000000000002,777.12
20180306,15055.397999999996,944.162
20180307,15907.399000000005,932.367
20180308,16421.899999999994,959.701
20180309,16014.300000000001,837.242
20180310,14335.00000000001,744.002
20180311,11388.998000000001,560.0319999999999
20180312,12347.599999999999,651.616
20180313,14508.598999999998,810.112
20180314,14821.998999999998,823.408
20180315,14392.899000000003,787.281
20180316,14212.499999999996,833.576
20180317,11964.7,601.23
20180318,11725.999999999996,608.809
20180319,14947.2,866.201
20180320,14403.499,792.792
20180321,15026.099999999999,879.954
20180322,15281.999999999996,948.418
20180323,15507.798999999999,943.307
20180324,12027.396999999995,577.371
20180325,11935.296999999999,635.153
20180326,14139.699,748.253
20180327,14200.099000000002,767.637
20180328,15348.9,930.739
20180329,14539.595,830.971
20180330,11864.998000000001,577.771
20180331,10664.3,525.641
20180401,10613.300000000001,540.985
20180402,11168.999000000002,575.586
20180403,11567.299999999997,580.648
20180404,13205.400000000003,710.779
20180405,12889.197999999999,639.81
20180406,12871.597999999998,649.77
20180407,11036.899,580.684
20180408,11309.900000000003,619.475
20180409,15827.900000000003,839.4019999999999
20180410,14448.598000000002,841.86
20180411,11370.899,583.1030000000001
20180412,12686.1,673.6160000000001
20180413,13476.899999999998,758.246
20180414,11079.199000000004,600.88
20180415,11241.298000000003,607.816
20180416,14022.5,740.784
20180417,14204.699999999993,757.219
20180418,14711.900000000005,811.488
20180419,14882.899999999994,811.804
20180420,14649.798,806.087
20180421,11882.498999999998,621.878
20180422,11608.599999999999,630.035
20180423,15171.400000000003,850.4
20180424,15349.999,855.344
20180425,12750.799999999996,697.157
20180426,15119.799000000005,807.75
20180427,15426.299,857.362
20180428,11993.096999999994,609.317
20180429,11940.299,642.899
20180430,15366.098,824.44
20180501,15694.998999999996,855.584
20180502,15904.396999999997,862.159
20180503,15647.799,858.662
20180504,14437.399000000003,795.712
20180505,11795.599000000002,630.046
20180506,11937.898,649.914
20180507,14943.498000000001,797.338
20180508,15440.300000000007,806.23
20180509,15887.8,868.2869999999999
20180510,14495.098000000004,784.847
20180511,14491.597000000005,764.1469999999999
20180512,13220.598999999997,762.279
20180513,12165.398999999998,655.187
20180514,15729.699999999997,830.525
20180515,16092.598999999993,877.034
20180516,16167.999999999995,862.618
20180517,16038.300000000003,841.987
20180518,15713.199999999999,833.67
20180519,12930.797999999992,688.322
20180520,12976.500000000002,703.21
20180521,16221.500000000005,868.999
20180522,16250.899999999998,879.269
20180523,16306.200000000006,879.25
20180524,15930.499000000002,872.554
20180525,15431.100000000002,825.349
20180526,12527.0,678.958
20180527,12651.899,683.034
20180528,15960.699000000002,827.934
20180529,15702.599000000006,879.186
20180530,16288.097,854.767
20180531,15682.499999999998,813.564
20180601,15978.89800000001,885.646
20180602,13028.899000000005,699.716
20180603,13087.098,702.823
20180604,16289.299999999992,842.372
20180605,15613.400000000003,810.613
20180606,15512.198000000002,808.29
20180607,15743.399000000001,845.461
20180608,15228.899000000001,810.969
20180609,15246.798000000003,803.81
20180610,11388.099999999997,580.805
20180611,13440.099999999999,657.794
20180612,15567.600000000006,952.5419999999999
20180613,15532.398999999996,825.454
20180614,15619.099999999999,814.754
20180615,15266.398999999998,809.86
20180616,12053.498999999998,602.566
20180617,12128.299000000006,641.85
20180618,15706.198999999999,836.96
20180619,16080.600000000002,871.307
20180620,16229.900000000003,891.117
20180621,15802.799999999992,819.252
20180622,15810.999999999995,841.444
20180623,12653.197999999999,617.261
20180624,12040.999000000002,603.209
20180625,15953.999999999996,840.16
20180626,15913.899000000001,845.005
20180627,16026.800000000007,848.648
20180628,15420.698999999995,793.893
20180629,14779.498,761.338
20180630,11429.696999999996,559.849
20180701,11425.899999999998,570.723
20180702,14841.497,772.832
20180703,14707.094999999998,738.755
20180704,14546.29799999999,756.135
20180705,13794.896999999992,679.426
20180706,13665.899999999998,708.845
20180707,11075.700000000004,559.452
20180708,11092.297000000004,554.437
20180709,14964.899999999994,791.24
20180710,11595.999999999998,591.255
20180711,13344.8,696.6569999999999
20180712,17044.1,1018.653
20180713,14313.499999999993,717.613
20180714,11681.997,563.927
20180715,11627.698,577.785
20180716,14917.199000000006,762.858
20180717,14273.5,723.992
20180718,13950.798999999997,706.644
20180719,14190.296999999995,737.582
20180720,14393.198000000002,740.837
20180721,11402.698999999999,558.917
20180722,11378.099000000002,586.213
20180723,14933.998999999998,781.093
20180724,14653.899,733.47
20180725,14977.799,775.682
20180726,15317.897999999992,866.926
20180727,14519.198999999995,709.707
20180728,11442.398000000005,575.482
20180729,11605.998999999994,597.393
20180730,16258.899,855.357
20180731,15764.198999999999,830.54
20180801,15783.099999999995,806.534
20180802,15796.499000000005,842.168
20180803,15279.194999999994,830.545
20180804,11966.899999999998,606.141
20180805,12022.099000000002,645.292
20180806,15610.698999999995,883.496
20180807,16642.40000000001,957.0
20180808,15936.799000000003,862.074
20180809,12266.500000000002,630.9069999999999
20180810,15423.496999999992,849.0310000000001
20180811,13330.099000000002,684.806
20180812,11564.199000000006,541.763
20180813,15424.300000000001,828.618
20180814,15573.396999999992,934.909
20180815,15623.700000000003,850.9789999999999
20180816,15847.600000000002,912.564
20180817,14743.499000000003,766.143
20180818,11537.599999999999,583.4630000000001
20180819,12084.599999999995,665.177
20180820,16236.499000000007,896.04
20180821,16255.799,967.4810000000001
20180822,16046.797999999997,843.012
20180823,16336.100000000004,875.618
20180824,15692.900000000003,872.311
20180825,12422.598000000002,669.4119999999999
20180826,11790.200000000004,624.159
20180827,15453.199,860.096
20180828,16637.599000000002,938.467
20180829,16905.5,897.08
20180830,16797.999000000003,901.66
20180831,16050.697000000002,847.297
20180901,11876.396999999999,623.088
20180902,11839.699000000006,630.054
20180903,16014.299999999994,837.242
20180904,15827.899999999996,839.402
20180905,15887.800000000001,868.287
20180906,15246.797999999999,803.81
20180907,14964.900000000003,791.24
20180908,12266.500000000004,630.907
20180909,11912.999,653.3330000000001
20180910,14972.096,769.7280000000001
20180911,13318.499999999998,701.7739999999999
20180912,10082.800000000005,500.916
20180913,14612.198000000002,771.0369999999999
20180914,14207.597000000003,732.4780000000001
20180915,11302.799999999997,586.65
20180916,11899.198000000002,622.6659999999999
20180917,15196.295,808.462
20180918,15329.599000000002,826.41
20180919,15536.297999999999,831.6310000000001
20180920,15055.599000000004,805.2760000000001
20180921,14494.696999999998,803.6469999999999
20180922,11130.198000000002,548.799
20180923,10891.998,578.034
20180924,13953.694,704.6469999999999
20180925,14535.600000000006,753.591
20180926,14262.495,694.422
20180927,13846.095000000003,731.905
20180928,11921.499000000002,600.401
20180929,11200.497000000005,552.2230000000001
20180930,11472.699000000004,619.0980000000001
20181001,14894.796999999997,804.31
20181002,14968.700000000003,808.268
20181003,14335.000000000005,744.002
20181004,14448.598000000005,841.86
20181005,14495.098000000004,784.847
