DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20201213,19.80108695652174,23.14891304347826,7.618478260869565,39.79347826086956,13,1,1,0,2,3,51,12,4,2020
20201214,22.367708333333336,25.230208333333334,8.292708333333334,38.5,14,2,0,0,2,3,51,12,4,2020
20201215,24.659375,26.739583333333332,11.043750000000001,41.958333333333336,15,3,0,0,3,3,51,12,4,2020
20201216,23.089583333333334,24.540625000000002,13.96875,55.541666666666664,16,4,0,0,3,3,51,12,4,2020
20201217,23.472916666666666,25.307291666666668,14.202083333333334,54.9375,17,5,0,0,3,3,51,12,4,2020
20201218,14.652083333333332,19.180208333333333,7.691666666666666,50.614583333333336,18,6,0,0,3,3,51,12,4,2020
20201219,12.9125,17.653125,3.7552083333333335,44.40625,19,7,1,0,3,3,51,12,4,2020
20201220,14.863541666666668,19.095833333333335,3.173958333333333,40.958333333333336,20,1,1,0,3,4,52,12,4,2020
20201221,16.193749999999998,19.417708333333334,7.171875,52.354166666666664,21,2,0,0,3,4,52,12,4,2020
20201222,13.057291666666666,16.120833333333334,13.036458333333334,83.13541666666667,22,3,0,0,4,4,52,12,4,2020
20201223,13.870833333333332,18.051041666666666,8.772916666666667,58.541666666666664,23,4,0,0,4,4,52,12,4,2020
20201224,13.103125,17.916666666666668,7.751041666666667,54.958333333333336,24,5,0,0,4,4,52,12,4,2020
20201225,13.780208333333334,18.321875000000002,4.098958333333333,43.979166666666664,25,6,0,0,4,4,52,12,4,2020
20201226,17.998958333333334,20.866666666666667,5.954166666666667,48.125,26,7,1,0,4,4,52,12,4,2020
20201227,20.359375,24.6125,6.1375,38.166666666666664,27,1,1,0,4,5,53,12,4,2020
20201228,9.976041666666667,17.011458333333334,3.7375000000000003,44.864583333333336,28,2,0,0,4,5,53,12,4,2020
20201229,12.782291666666666,18.559375,3.7427083333333333,40.3125,29,3,0,0,5,5,53,12,4,2020
20201230,19.295833333333334,22.197916666666668,9.966666666666667,49.8125,30,4,0,0,5,5,53,12,4,2020
20201231,21.95,23.926041666666666,13.5375,55.3125,31,5,0,0,5,5,53,12,4,2020
20210101,20.820833333333333,21.073958333333334,15.817708333333334,73.02083333333333,1,6,0,1,1,1,1,1,1,2021
20210102,21.048958333333335,22.530208333333334,13.540625,58.65625,2,7,1,0,1,1,1,1,1,2021
20210103,22.458333333333332,23.859375,14.242708333333333,59.375,3,1,1,0,1,2,2,1,1,2021
20210104,17.097916666666666,20.744791666666668,12.769791666666668,62.15625,4,2,0,0,1,2,2,1,1,2021
20210105,18.194791666666667,21.330208333333335,13.239583333333334,62.427083333333336,5,3,0,0,1,2,2,1,1,2021
20210106,14.74375,20.098958333333332,11.040625,58.125,6,4,0,0,1,2,2,1,1,2021
20210107,19.162499999999998,22.23229166666667,8.770833333333334,47.041666666666664,7,5,0,0,1,2,2,1,1,2021
20210108,20.886458333333334,23.006249999999998,9.388541666666667,45.739583333333336,8,6,0,0,2,2,2,1,1,2021
20210109,22.227083333333336,24.380208333333332,9.316666666666666,41.979166666666664,9,7,1,0,2,2,2,1,1,2021
20210110,25.379166666666666,27.041666666666668,9.68125,40.041666666666664,10,1,1,0,2,3,3,1,1,2021
20210111,25.692708333333332,29.147916666666664,6.779166666666666,28.5,11,2,0,0,2,3,3,1,1,2021
20210112,23.568749999999998,27.179166666666664,10.178125,36.21875,12,3,0,0,2,3,3,1,1,2021
20210113,22.179166666666664,25.429166666666664,7.357291666666666,41.770833333333336,13,4,0,0,2,3,3,1,1,2021
20210114,17.114583333333332,19.900000000000002,11.104166666666666,57.75,14,5,0,0,2,3,3,1,1,2021
20210115,16.6,19.3,11.6,61.0,15,6,0,0,3,3,3,1,1,2021
20210116,16.6,19.3,11.6,61.0,16,7,1,0,3,3,3,1,1,2021
20210117,16.6,19.3,11.6,61.0,17,1,1,0,3,4,4,1,1,2021
20210118,16.6,19.3,11.6,61.0,18,2,0,0,3,4,4,1,1,2021
20210119,16.6,19.3,11.6,61.0,19,3,0,0,3,4,4,1,1,2021
