DateKey,TimeKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity
20210114,30100,16.5,20.5,9.7,50.0
20210114,30200,17.0,20.6,9.8,50.0
20210114,30300,16.5,20.5,9.7,50.0
20210114,30400,16.7,20.6,10.1,51.0
20210114,30500,17.0,20.5,10.0,51.0
20210114,30600,16.9,20.4,10.2,52.0
20210114,30700,16.4,20.3,10.1,52.0
20210114,30800,17.1,20.3,10.1,52.0
20210114,30900,17.0,20.2,10.0,52.0
20210114,31000,16.9,20.0,10.1,53.0
20210114,31100,16.9,20.0,10.4,54.0
20210114,31200,16.7,20.1,10.5,54.0
20210114,31300,16.8,20.2,10.6,54.0
20210114,31400,17.1,20.1,10.5,54.0
20210114,31500,16.1,20.2,10.9,55.0
20210114,31600,16.8,20.1,10.8,55.0
20210114,31700,17.0,20.0,10.7,55.0
20210114,31800,17.0,20.0,10.7,55.0
20210114,31900,16.9,19.9,10.6,55.0
20210114,32000,17.2,19.8,10.8,56.0
20210114,32100,16.9,19.8,11.0,57.0
20210114,32200,16.0,19.7,10.9,57.0
20210114,32300,16.1,19.7,11.2,58.0
20210114,32400,15.3,19.6,11.4,59.0
20210114,32500,15.2,19.7,11.7,60.0
20210114,32600,16.2,19.7,11.7,60.0
20210114,32700,15.7,19.5,11.8,61.0
20210114,32800,15.7,19.5,11.8,61.0
20210114,32900,16.3,19.4,11.7,61.0
20210114,33000,16.6,19.3,11.6,61.0
20210114,33100,16.8,19.2,11.5,61.0
20210114,33200,16.7,19.1,11.4,61.0
20210114,33300,16.4,19.1,11.7,62.0
20210114,33400,16.2,19.2,11.7,62.0
20210114,33500,16.1,19.1,11.9,63.0
20210114,33600,16.0,19.0,11.8,63.0
20210114,33700,15.6,19.0,11.8,63.0
20210114,33800,16.2,18.9,11.7,63.0
20210114,33900,15.4,18.9,11.7,63.0
20210114,34000,14.5,19.0,11.8,63.0
20211016,180000,13.3,15.8,8.1,60.0
20211016,183000,13.8,15.9,8.2,60.0
20211016,190000,13.5,15.9,8.6,62.0
20211016,193000,12.4,15.3,8.1,62.0
20211016,200000,11.4,14.6,8.3,66.0
20211016,203000,11.0,13.8,8.4,70.0
20211016,210000,9.7,12.6,8.3,75.0
20211016,213000,8.9,11.9,7.8,76.0
20211016,220000,8.0,11.7,7.8,77.0
20211016,223000,7.4,10.8,7.7,81.0
20211016,230000,7.1,10.4,8.0,85.0
20211016,233000,6.8,10.1,7.9,86.0
20211017,0,6.3,10.1,7.5,84.0
20211017,3000,6.3,9.8,7.4,85.0
20211017,10000,6.0,9.2,7.0,86.0
20211017,13000,5.5,8.7,6.8,88.0
20211017,20000,5.1,8.3,6.8,90.0
20211017,23000,4.6,7.5,6.3,92.0
20211017,30000,3.8,6.8,6.1,95.0
20211017,33000,3.9,6.5,6.1,97.0
20211017,40000,3.8,6.1,5.8,98.0
20211017,43000,2.4,4.8,4.5,98.0
20211017,50000,1.5,4.0,3.7,98.0
20211017,51700,1.4,3.9,3.8,99.0
20211017,53000,2.3,3.7,3.6,99.0
20211017,53500,2.4,3.8,3.7,99.0
20211017,55800,1.4,2.9,2.8,99.0
20211017,60000,1.2,2.8,2.7,99.0
20211017,63000,1.0,2.6,2.5,99.0
20211017,63700,0.7,2.3,2.2,99.0
20211017,64600,0.8,2.4,2.3,99.0
20211017,70000,1.5,3.0,2.9,99.0
20211017,71300,2.7,4.7,4.6,99.0
20211017,73000,5.8,6.6,6.6,100.0
20211017,80000,7.5,8.0,8.0,100.0
20211017,83000,9.7,10.8,10.6,99.0
20211017,90000,10.2,12.6,8.5,76.0
20211017,93000,10.0,12.9,6.7,66.0
20211017,100000,11.7,13.7,7.0,64.0
20211017,103000,12.0,14.4,7.2,62.0
20211017,110000,11.7,14.5,7.1,61.0
20211017,113000,11.2,14.3,7.1,62.0
20211017,120000,13.6,16.4,8.4,59.0
20211017,123000,12.1,15.3,6.8,57.0
20211017,130000,13.6,16.4,8.6,60.0
20211017,133000,13.3,16.3,7.8,57.0
20211017,140000,15.3,17.7,8.6,55.0
20211017,143000,15.4,18.0,7.7,51.0
20211017,150000,14.9,17.4,6.6,49.0
20211017,153000,14.9,17.2,7.5,53.0
20211017,160000,13.4,16.9,7.0,52.0
20211017,163000,15.5,18.8,7.9,49.0
20211017,170000,17.3,18.8,8.5,51.0
20211017,173000,16.5,18.8,7.6,48.0
20211017,180000,15.8,18.1,7.5,50.0
20211017,183000,15.8,17.9,6.7,48.0
20211017,190000,14.3,16.6,7.3,54.0
20211017,193000,12.8,15.1,7.4,60.0
20211017,200000,11.4,13.6,7.8,68.0
20211017,203000,10.1,12.5,7.2,70.0
20211017,210000,9.2,10.4,8.2,86.0
20211017,213000,8.0,8.7,7.0,89.0
20211017,220000,7.8,8.4,7.2,92.0
20211017,223000,7.8,8.4,7.5,94.0
20211017,230000,6.2,7.9,7.5,97.0
20211017,233000,5.4,7.4,7.1,98.0
20211018,0,6.2,8.0,7.9,99.0
20211018,3000,7.0,7.6,7.3,98.0
20211018,10000,5.2,6.2,5.6,96.0
20211018,13000,4.8,5.8,5.4,97.0
20211018,20000,4.9,5.9,5.6,98.0
20211018,23000,4.9,5.9,5.6,98.0
20211018,30000,4.7,5.7,5.6,99.0
20220801,190000,7.5,11.5,6.8,73.0
20220801,193000,7.7,11.3,6.8,74.0
20220801,200000,6.9,10.0,7.1,82.0
20220801,203000,7.3,10.0,7.3,83.0
20220801,210000,7.6,11.1,7.0,76.0
20220801,213000,6.8,10.4,6.7,78.0
20220801,220000,5.0,8.6,6.6,87.0
20220801,223000,4.3,7.7,6.0,89.0
20220801,230000,4.8,7.7,6.5,92.0
20220801,233000,4.4,7.6,6.7,94.0
20220802,0,3.8,6.7,6.3,97.0
20220802,3000,3.4,6.4,6.1,98.0
20220802,10000,3.8,6.4,6.1,98.0
20220802,13000,4.6,6.7,6.6,99.0
20220802,20000,3.2,5.9,5.5,97.0
20220802,23000,2.8,5.2,5.1,99.0
20220802,30000,2.1,4.5,4.5,100.0
20220802,33000,3.2,4.4,4.4,100.0
20220802,40000,1.1,3.8,3.8,100.0
20220802,43000,0.6,3.4,3.4,100.0
20220802,50000,0.8,3.5,3.5,100.0
20220802,53000,0.2,2.9,2.9,100.0
20220802,60000,0.9,2.8,2.8,100.0
20220802,63000,-1.1,2.2,2.2,100.0
20220802,70000,0.3,2.3,2.3,100.0
20220802,73000,-0.2,2.7,2.7,100.0
20220802,80000,1.3,3.8,3.8,100.0
20220802,83000,1.5,4.1,4.1,100.0
20220802,90000,4.1,6.6,6.5,99.0
20220802,93000,4.3,7.8,5.6,86.0
20220802,100000,5.3,9.1,5.8,80.0
20220802,103000,6.5,10.2,6.4,77.0
20220802,110000,7.9,11.2,6.5,73.0
20220802,113000,8.3,12.1,7.6,74.0
20220802,120000,9.0,12.8,7.5,70.0
20220802,123000,9.3,13.4,7.8,69.0
20220802,130000,9.8,13.9,7.7,66.0
20220802,133000,10.3,14.5,7.5,63.0
20220802,140000,10.2,14.6,7.2,61.0
20220802,143000,8.9,14.6,6.9,60.0
20220802,150000,9.7,15.0,6.6,57.0
20220802,153000,8.9,14.5,5.6,55.0
20220802,160000,8.8,14.8,5.1,52.0
20220802,163000,9.0,14.3,4.9,53.0
20220802,170000,9.0,13.7,5.1,56.0
20220802,173000,8.7,12.2,5.4,63.0
20220802,180000,8.5,11.9,5.8,66.0
20220802,183000,7.6,11.5,5.4,66.0
20220802,190000,6.6,11.4,5.5,67.0
20220802,193000,6.5,11.3,5.4,67.0
20220802,200000,6.2,11.0,5.5,69.0
20220802,203000,6.1,11.3,5.6,68.0
20220802,210000,6.3,11.1,5.6,69.0
20220802,213000,5.8,11.0,5.7,70.0
20220802,220000,5.7,10.8,6.2,73.0
20220802,223000,6.2,10.8,6.4,74.0
20220802,230000,6.4,10.7,6.8,77.0
20220802,233000,6.2,10.7,6.8,77.0
20220803,0,6.5,11.1,6.6,74.0
20220803,3000,6.3,10.8,7.1,78.0
20220803,10000,6.5,11.3,7.2,76.0
20220803,13000,5.8,11.0,7.3,78.0
20220803,20000,6.6,10.8,8.2,84.0
20220803,23000,6.3,9.9,9.8,99.0
20220803,30000,5.8,10.0,9.9,99.0
20220803,33000,6.1,9.9,9.9,100.0
20220803,40000,5.7,9.9,9.9,100.0
20220803,43000,5.8,10.3,10.0,98.0
20220803,50000,6.0,10.5,9.9,96.0
20220803,53000,5.8,10.7,10.1,96.0
20220803,60000,6.9,10.6,10.3,98.0
20220803,63000,6.8,10.8,10.5,98.0
20220803,70000,6.9,10.8,10.8,100.0
20220803,73000,6.4,11.0,11.0,100.0
20220803,80000,6.3,11.2,11.2,100.0
20220803,83000,8.6,11.8,11.8,100.0
20220803,90000,9.1,12.1,12.1,100.0
20220803,93000,10.3,12.8,12.2,96.0
20220803,100000,12.5,14.4,11.7,84.0
20220803,103000,12.9,15.7,12.6,82.0
20220803,110000,13.1,16.1,12.5,79.0
20220803,113000,14.0,16.9,12.2,74.0
20220803,120000,13.5,17.4,10.8,65.0
20220803,123000,14.0,18.2,11.0,63.0
20220803,130000,13.0,18.1,10.7,62.0
20220803,133000,14.9,18.6,11.4,63.0
20220803,140000,14.3,18.5,11.1,62.0
20220803,143000,14.5,18.8,10.6,59.0
20220803,150000,15.3,19.0,10.3,57.0
20220803,153000,15.6,19.0,10.6,58.0
20220803,160000,16.4,19.0,10.6,58.0
20220803,163000,15.0,18.3,10.9,62.0
20220803,170000,14.6,17.5,11.1,66.0
20220803,173000,13.4,15.9,10.9,72.0
20220803,180000,13.7,16.0,10.5,70.0
20220803,183000,13.1,15.0,10.4,74.0
20220803,190000,12.7,14.9,10.9,77.0
20220803,193000,12.6,14.8,10.8,77.0
20220803,200000,12.6,14.4,10.8,79.0
20220803,203000,11.6,14.2,10.8,80.0
20220803,210000,11.4,14.0,10.8,81.0
20220803,213000,10.9,13.4,11.1,86.0
20220803,220000,11.1,13.5,11.4,87.0
20220803,223000,11.2,14.0,11.5,85.0
20220803,230000,10.9,14.2,11.5,84.0
20220803,233000,10.8,14.0,11.3,84.0
20220804,0,11.0,14.2,11.4,83.0
20220804,3000,11.1,14.7,11.7,82.0
